Member_number,Date,itemDescription
2375,03-09-2015,A&D Quinta Dos Espinhosos
1617,30-03-2015,Aces 2010 Seven Deuce White
3399,09-04-2015,A Blooming Hill 2009 Pinot Gris
1570,15-03-2015,A&D Monólogo Avesso P67
1583,24-03-2015,Adastra 2009 Proximus Merlot
3348,05-12-2015,A Blooming Hill 2008 Pinot Noir
1427,10-01-2015,Aces 2010 Seven Deuce White
3041,27-08-2015,Adelsheim Stoller Chardonnay (all vintages)
1661,08-11-2015,Adair 2011 Landmark White
1076,12-06-2015,A Gust of Sun 2010 Niagara
3545,29-09-2015,Aalto Wines
3593,10-09-2015,A Blooming Hill 2008 Pinot Noir
3891,16-02-2015,Achard-Vincent
2115,18-11-2015,Aces 2010 Seven Deuce White
2480,26-03-2015,A&D Monólogo Avesso P67
1532,20-06-2015,A Grower's Touch Chadronnay
2530,13-06-2015,A&D Monólogo Avesso P67
1803,12-05-2015,A&D Monólogo Avesso P67
2604,20-09-2015,A&D Monólogo Arinto P24
3595,21-03-2015,Adair Kir Peche
1442,30-03-2015,A Gust of Sun 2010 Niagara
1515,09-11-2015,Aces 2010 Seven Deuce White
2899,24-11-2015,Adrice 2016 Montepulciano
1845,07-08-2015,A&D Monólogo Sauvignon Blanc P704
4334,28-04-2015,Adastra 2011 Pinot Noir
3885,13-04-2015,Albet i Noya El Fanio
1474,02-06-2015,Adair Kir Peche
4783,21-02-2015,Adler Fels
1379,06-02-2015,Adastra 2012 Chardonnay
4217,17-06-2015,Aces 2010 Seven Deuce White
4281,14-09-2015,Aces 2010 Seven Deuce White
2690,01-05-2015,A Blooming Hill 2009 Pinot Gris
2543,23-05-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
2300,28-04-2015,Adair 2011 Landmark White
4302,05-04-2015,Alasia Brachetto d’Acqui DOCG
1930,15-11-2015,Adastra 2011 Pinot Noir
2834,02-12-2015,A&D Monólogo Avesso P67
2307,26-05-2015,Agran Araucano Wines
3894,25-01-2015,A&D Monólogo Sauvignon Blanc P704
1467,20-08-2015,Adastra 2010 Merlot
3952,30-10-2015,A&D Monólogo Chardonnay P706
3016,01-12-2015,Alasia Moscato Secco IGT Provincia di Pavia
2118,18-07-2015,A Grower's Touch Cabernet Sauvignon
1940,14-02-2015,A Grower's Touch Durif
1430,04-09-2015,A&D Monólogo Avesso P67
2738,11-04-2015,A Blooming Hill 2008 Pinot Noir
1565,30-11-2015,Adelsheim Stoller Chardonnay (all vintages)
4755,27-12-2015,A Blooming Hill 2009 Pinot Noir
1410,08-11-2015,Aces 2010 Seven Deuce White
3829,02-08-2015,A Grower's Touch Durif
3086,04-04-2015,Adelsheim Stoller Chardonnay (all vintages)
4780,09-06-2015,A&D Monólogo Chardonnay P706
4085,29-09-2015,Achard-Vincent
3236,26-01-2015,Aces 2010 Flush Bush
2040,31-05-2015,A Blooming Hill 2008 Mingle
2370,04-02-2015,Adair 2012 Black Currant Kir Rouge
4249,27-02-2015,Adastra 2011 Merlot
2836,14-08-2015,A&D Liv Rosé
1220,01-01-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
3520,02-01-2015,AA Badenhorst Family Wines
2566,31-01-2015,A&D Singular
2655,05-01-2015,A&D Singular
4147,18-04-2015,Aces 2007 Pocket Kings Red Wine
3364,30-08-2015,Ad Hoc 'The Riddler' Sparkling Wine
2370,14-01-2015,Ad Hoc 'Mixmaster' Blended White
3809,08-02-2015,Ad Hoc 'Straw Man' Sauvignon Blanc Semillon
3744,06-11-2015,Abbazia Prosecco Spumante
1588,19-01-2015,Ad Hoc 'Mixmaster' Blended Red
4304,01-02-2015,A Blooming Hill 2009 Chardonnay
2240,20-09-2015,A&D Casa Do Arrabalde
3175,05-06-2015,A Blooming Hill 2009 Pinot Gris
1231,27-10-2015,Adrice 2014 Pardonné Pinot Noir
3599,11-06-2015,Ad Hoc 'Mixmaster' Blended Red
3738,01-04-2015,A&D Monólogo Avesso P67
1593,08-08-2015,A Blooming Hill 2009 Pinot Noir
1319,10-01-2015,Albet i Noya Syrah Rosat
2105,21-01-2015,A Blooming Hill 2008 Mingle
2056,03-07-2015,A&D Monólogo Arinto P24
3139,21-04-2015,Adastra 2012 Chardonnay
1098,19-01-2015,Adelsheim Stoller Chardonnay (all vintages)
2601,22-10-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
2694,19-06-2015,Ad Hoc 'Mixmaster' Blended White
4524,26-12-2015,A&D Monólogo Sauvignon Blanc P704
1165,13-04-2015,A to Z Wine
3705,07-09-2015,A&D Monólogo Sauvignon Blanc P704
1634,28-05-2015,A&D Monólogo Arinto P24
2030,04-09-2015,Aces 2010 Seven Deuce White
4989,19-06-2015,Alasia Roero Arneis DOCG
1715,04-07-2015,Adair 2011 Landmark White
4552,13-08-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1303,29-03-2015,A Blooming Hill 2008 Pinot Noir
1430,09-02-2015,A&D Monólogo Malvasia Fina P70
4559,12-05-2015,A&D Monólogo Avesso P67
3848,18-11-2015,Adelsheim Stoller Chardonnay (all vintages)
2162,19-06-2015,A Grower's Touch Cabernet Sauvignon
3719,17-12-2015,A Blooming Hill 2009 Pinot Gris
3153,28-04-2015,Achard-Vincent
4462,02-04-2015,A Blooming Hill 2009 Pinot Noir
2420,27-09-2015,Adair Black Currant Kir
3971,17-06-2015,A&D Monólogo Malvasia Fina P70
1611,26-02-2015,A&D Monólogo Avesso P67
1225,26-02-2015,A Blooming Hill 2008 Pinot Noir
1554,21-05-2015,A Blooming Hill 2008 Mingle
4624,27-11-2015,Adrice 2014 Pardonné Pinot Noir
3337,10-06-2015,A Blooming Hill 2008 Pinot Noir
2265,25-09-2015,Albero Monastrell 2013
4999,24-01-2015,A Blooming Hill 2009 Pinot Gris
4102,03-11-2015,Achard-Vincent
3853,04-07-2015,A Blooming Hill 2008 Mingle
2265,13-06-2015,Adrice 2016 La Montagna Nebbiolo
2452,11-08-2015,A&D Liv Rosé
2829,19-12-2015,Agripunica Samas
3926,20-08-2015,Adrice 2016 La Montagna Nebbiolo
3960,21-10-2015,Aceviño Whites
3980,16-09-2015,A&D Monólogo Sauvignon Blanc P704
1116,29-01-2015,Adastra 2009 Proximus Merlot
2663,21-10-2015,Airlie Gewürztraminer
2164,24-11-2015,A Blooming Hill 2008 Pinot Noir
3950,12-05-2015,A&D Monólogo Arinto P24
1252,13-04-2015,A Grower's Touch Cabernet Sauvignon
4804,27-12-2015,A Gust of Sun 2010 Niagara
4041,07-09-2015,A&D Monólogo Avesso P67
1894,04-08-2015,A Blooming Hill 2008 Pinot Noir
4977,20-08-2015,Albero Monastrell 2013
2171,03-09-2015,Albero Monastrell 2013
3417,15-12-2015,Aces 2009 Pocket Kings Red Wine
1175,10-06-2015,Adelsheim Stoller Chardonnay (all vintages)
4946,17-02-2015,Ad Hoc 'Straw Man' Sauvignon Blanc Semillon
4662,27-06-2015,A Blooming Hill 2009 Pinot Noir
2869,10-12-2015,A&D Monólogo Sauvignon Blanc P704
4053,22-03-2015,A Gust of Sun (except 2010 Niagara)
4574,30-11-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
1110,15-11-2015,A Gust of Sun 2010 Niagara
4700,04-03-2015,A Blooming Hill 2008 Pinot Noir
2565,29-04-2015,A Blooming Hill 2009 Chardonnay
2468,13-03-2015,A Blooming Hill 2009 Pinot Noir
4836,13-11-2015,Adrice 2014 Pardonné Pinot Noir
3504,22-09-2015,Adair 2011 Landmark White
1333,03-04-2015,AA Badenhorst Family Wines
4039,27-12-2015,A Blooming Hill 2009 Pinot Gris
2077,15-05-2015,A Gust of Sun 2010 Niagara
3519,13-12-2015,A&D Monólogo Sauvignon Blanc P704
2989,30-01-2015,Aces 2010 Flush Bush
3737,05-05-2015,A Grower's Touch Cabernet Sauvignon
3558,19-09-2015,A Blooming Hill 2008 Pinot Noir
3036,13-07-2015,A&D Monólogo Sauvignon Blanc P704
3180,03-07-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
2978,09-05-2015,Ad Hoc 'Mixmaster' Blended Red
3985,23-10-2015,Adrice 2016 Montepulciano
4903,08-12-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
2835,09-10-2015,Adastra 2012 Chardonnay
3783,22-06-2015,Ad Hoc 'Mixmaster' Blended Red
1486,14-12-2015,Adastra 2012 Chardonnay
4589,08-10-2015,A Blooming Hill 2008 Pinot Noir
1132,19-02-2015,A Blooming Hill 2009 Pinot Gris
4827,27-11-2015,A&D Monólogo Chardonnay P706
3361,28-06-2015,Adirondack Wines
4681,11-09-2015,Adrice 2016 La Montagna Nebbiolo
4197,26-10-2015,Adrice 2016 Fool's Gold Bourbon Syrah
3701,22-01-2015,Adrice 2016 La Montagna Nebbiolo
4195,01-10-2015,A&D Monólogo Sauvignon Blanc P704
3429,01-04-2015,Adair Black Currant Kir
2430,20-01-2015,A&D Monólogo Sauvignon Blanc P704
4330,08-04-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1783,18-03-2015,A&D Monólogo Malvasia Fina P70
4025,04-11-2015,A Grower's Touch Chadronnay
3399,19-07-2015,A&D Monólogo Avesso P67
4766,03-01-2015,Achard-Vincent
3562,13-08-2015,A Blooming Hill 2008 Pinot Noir
2447,21-01-2015,A Grower's Touch Cabernet Sauvignon
1396,22-07-2015,Abacela Wines
4633,26-04-2015,A&D Monólogo Arinto P24
4695,05-01-2015,Aces 2010 Seven Deuce White
1706,14-08-2015,Alasia Dolcetto d’Asti DOC
3872,23-11-2015,Aceviño Rosé
1444,14-10-2015,A&D Monólogo Sauvignon Blanc P704
4753,08-11-2015,A Grower's Touch Durif
4580,29-11-2015,A Blooming Hill 2008 Pinot Noir
2516,03-04-2015,A Blooming Hill 2008 Pinot Noir
2415,08-08-2015,Acacia Wine
3925,25-03-2015,A&D Monólogo Sauvignon Blanc P704
4996,24-11-2015,A&D Monólogo Arinto P24
4569,27-07-2015,A Blooming Hill 2009 Chardonnay
3509,11-04-2015,A Blooming Hill 2008 Mingle
2252,08-10-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1634,09-02-2015,A&D Monólogo Avesso P67
4112,27-04-2015,Ad Hoc 'Hen and Chicken' Chardonnay
4042,08-08-2015,Adrice 2015 Etouffant Red Mountain Merlot
4473,26-06-2015,Airlie Marechal Foch
3878,30-04-2015,A Gust of Sun 2010 Niagara
2266,30-09-2015,A&D Monólogo Avesso P67
3304,30-11-2015,A Blooming Hill 2009 Pinot Gris
3757,04-02-2015,Alasia Roero Arneis DOCG
3440,21-12-2015,A Blooming Hill 2009 Chardonnay
4328,04-02-2015,Adrice 2015 Etouffant Red Mountain Merlot
3737,06-12-2015,A to Z Wine
3948,15-06-2015,A Blooming Hill 2008 Pinot Noir
3682,05-03-2015,Agala Wine
2827,31-10-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
2650,05-10-2015,A Blooming Hill 2009 Pinot Gris
1360,16-12-2015,A Blooming Hill 2008 Pinot Noir
3679,23-12-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
4137,07-03-2015,Albet i Noya Tempranillo Clàssic
4235,19-12-2015,Aces 2010 Seven Deuce White
3193,31-01-2015,A Blooming Hill 2008 Mingle
1332,02-12-2015,A&D Monólogo Arinto P24
4821,28-11-2015,A Blooming Hill 2009 Pinot Noir
1837,09-07-2015,A Grower's Touch Cabernet Sauvignon
3665,23-09-2015,A&D Liv Rosé
2659,08-05-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1322,09-01-2015,Agripunica Samas
1599,29-05-2015,A Grower's Touch Cabernet Sauvignon
2933,06-04-2015,Aces 2010 Flush Bush
3963,21-02-2015,Adastra 2011 Ed's Red
4178,03-06-2015,A&D Monólogo Avesso P67
1052,27-10-2015,A&D Monólogo Avesso P67
4693,18-08-2015,A Gust of Sun 2010 Niagara
1329,02-02-2015,Aceviño Reds
3128,13-06-2015,A Blooming Hill 2009 Pinot Noir
1175,30-06-2015,A Grower's Touch Durif
2211,31-03-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
2093,12-06-2015,A&D Singular
4284,14-10-2015,Aces 2007 Pocket Aces Cabernet Sauvignon Reserve
4449,30-03-2015,Abacela Wines
4269,01-04-2015,A Grower's Touch Chadronnay
1962,05-04-2015,A Blooming Hill 2008 Mingle
2250,04-10-2015,A Blooming Hill 2009 Pinot Gris
1743,13-11-2015,Adrice 2016 La Montagna Nebbiolo
1583,28-07-2015,A&D Singular
4295,26-10-2015,A Portela Mencía
1183,29-06-2015,A Gust of Sun 2010 Niagara
2729,21-03-2015,A&D Monólogo Arinto P24
4035,03-08-2015,Adnams Wine
1608,06-08-2015,Adelsheim Stoller Chardonnay (all vintages)
1793,03-07-2015,Achard-Vincent
2210,09-07-2015,A Blooming Hill 2008 Pinot Noir
1885,03-07-2015,A&D Liv Rosé
1078,28-10-2015,Adrice 2016 La Montagna Nebbiolo
1016,30-09-2015,Adirondack Wines
3077,29-05-2015,A&D Singular
3551,01-05-2015,A to Z Wine
1158,17-10-2015,A Gust of Sun 2010 Niagara
2443,20-06-2015,Aces 2010 Seven Deuce White
1395,15-01-2015,Ad Hoc 'Mixmaster' Blended Red
2454,10-11-2015,A Blooming Hill 2008 Pinot Noir
3472,30-04-2015,Adler Fels
3547,28-11-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1038,21-02-2015,A Gust of Sun 2010 Niagara
3915,11-09-2015,Airlie Seven
2719,19-04-2015,Aalto Wines
2234,23-12-2015,Alasia Dolcetto d’Asti DOC
1565,14-12-2015,Albet i Noya Tempranillo Clàssic
1328,24-03-2015,Adelsheim Stoller Chardonnay (all vintages)
3398,18-01-2015,A Grower's Touch Chadronnay
3687,12-02-2015,Aces 2010 Flush Bush
1572,23-05-2015,A Blooming Hill 2009 Pinot Gris
3460,24-11-2015,Adnams Wine
2352,05-05-2015,A&D Singular
4816,31-07-2015,A Blooming Hill 2009 Pinot Gris
1152,19-07-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1120,11-06-2015,A&D Liv
4258,18-07-2015,A&D Casa Do Arrabalde
4336,10-09-2015,Aces 2010 Seven Deuce White
1395,25-08-2015,Adrice 2015 Etouffant Red Mountain Merlot
3581,24-09-2015,Adrice 2014 Santé Syrah
1762,01-07-2015,Ad Hoc 'Mixmaster' Blended White
2659,08-12-2015,A&D Monólogo Chardonnay P706
4120,17-01-2015,Albert Heijn Ru­e­da Pala­cio del Al­mi­ran­te
2420,08-03-2015,Adelsheim Stoller Chardonnay (all vintages)
2816,30-09-2015,A&D Monólogo Sauvignon Blanc P704
1711,26-02-2015,A Blooming Hill 2008 Pinot Noir
2884,28-12-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
4153,13-06-2015,A Portela Mencía
2184,11-05-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
4381,30-09-2015,A Blooming Hill 2009 Pinot Gris
2920,27-03-2015,A to Z Wine
3967,21-01-2015,A&D Monólogo Sauvignon Blanc P704
3135,13-03-2015,A&D Liv
3459,05-08-2015,Aces 2009 Pocket Kings Red Wine
2868,09-01-2015,Airlie Gewürztraminer
2989,06-01-2015,A Blooming Hill 2009 Chardonnay
1440,06-09-2015,Adelsheim Stoller Chardonnay (all vintages)
2796,19-05-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
1074,16-10-2015,Albet i Noya Solc
2565,28-09-2015,Adrice 2017 Vivant Sauvignon Blanc
1197,16-01-2015,A&D Casa Do Arrabalde
1971,16-08-2015,A Portela Mencía
3327,26-03-2015,A&D Monólogo Arinto P24
1168,06-03-2015,Adnams Wine
2814,18-09-2015,A&D Liv
3298,26-05-2015,A Blooming Hill 2008 Pinot Noir
3728,12-11-2015,Aces 2007 Pocket Aces Reserve
2116,29-08-2015,A&D Monólogo Avesso P67
1139,19-01-2015,Abbazia Prosecco Spumante
2463,26-12-2015,Aces 2010 Seven Deuce White
2978,27-06-2015,Agran Araucano Wines
4525,07-10-2015,Agran Araucano Wines
1213,14-09-2015,Ad Hoc 'Mixmaster' Blended White
4332,24-11-2015,Aceviño Whites
1729,15-12-2015,Adrice 2016 Fool's Gold Bourbon Syrah
1695,04-02-2015,A Blooming Hill 2009 Pinot Noir
3503,29-11-2015,A Blooming Hill 2009 Chardonnay
3686,06-01-2015,A Blooming Hill 2008 Pinot Noir
4264,11-05-2015,Ad Hoc 'Hen and Chicken' Chardonnay
1545,28-02-2015,Adair 2011 Landmark White
3195,08-07-2015,Agran Araucano Wines
1409,17-02-2015,A Blooming Hill 2008 Pinot Noir
2800,21-06-2015,A&D Monólogo Chardonnay P706
4453,27-07-2015,Aces 2010 Seven Deuce White
4820,18-01-2015,A&D Casa Do Arrabalde
3716,08-10-2015,Albet i Noya Pinot Noir Merlot Clàssic
3270,15-05-2015,A&D Monólogo Arinto P24
3410,16-01-2015,Adrice 2017 Alma Albariño
3651,16-10-2015,Achard-Vincent
2049,06-01-2015,Aceviño Rosé
3507,27-08-2015,Aces 2009 Seven Deuce Red
3184,20-11-2015,A Portela Mencía
2648,29-01-2015,A&D Monólogo Sauvignon Blanc P704
1566,24-02-2015,Aces 2010 Seven Deuce White
4105,05-02-2015,Adler Fels
3537,25-01-2015,A&D Monólogo Avesso P67
2300,05-08-2015,Alasia Moscato Secco IGT Provincia di Pavia
3794,04-01-2015,A Blooming Hill 2009 Pinot Gris
3756,11-07-2015,A to Z Wine
4197,06-02-2015,Adrice 2016 Vivant Sauvignon Blanc
4661,10-05-2015,Adrice 2015 Etouffant Red Mountain Merlot
3738,30-12-2015,Aces 2007 Pocket Kings Red Wine
4567,02-10-2015,A&D Monólogo Sauvignon Blanc P704
2831,06-01-2015,Adrice 2017 Vivant Sauvignon Blanc
4841,09-06-2015,A Portela Mencía
1776,15-04-2015,AA Badenhorst Family Wines
1364,31-07-2015,Adler Fels
1926,16-10-2015,A Blooming Hill 2008 Pinot Noir
3496,22-09-2015,Aces 2010 Seven Deuce White
1498,28-10-2015,A Blooming Hill 2008 Pinot Noir
4436,23-12-2015,Agran Araucano Wines
4098,06-02-2015,A Blooming Hill 2008 Pinot Noir
4707,11-02-2015,A&D Monólogo Sauvignon Blanc P704
4358,11-06-2015,Agripunica Samas
3290,29-05-2015,Aces 2010 Seven Deuce White
1940,04-06-2015,A Blooming Hill 2009 Pinot Noir
3363,18-08-2015,A Blooming Hill 2009 Pinot Gris
1782,01-08-2015,Alasia Brachetto d’Acqui DOCG
2756,23-11-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
4379,01-10-2015,Aces 2009 Pocket Kings Red Wine
4686,08-10-2015,A Blooming Hill 2009 Pinot Gris
1230,06-04-2015,A Blooming Hill 2009 Pinot Gris
2918,19-07-2015,Airlie Müller Thurgau
4604,09-12-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
4489,19-11-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
4408,20-04-2015,A Gust of Sun 2010 Niagara
1846,28-05-2015,Ad Hoc 'Mixmaster' Blended White
1658,15-06-2015,A Gust of Sun 2010 Niagara
3046,09-01-2015,A Blooming Hill 2008 Pinot Noir
4528,13-10-2015,A&D Monólogo Avesso P67
1132,22-09-2015,A Blooming Hill 2008 Pinot Noir
2386,05-12-2015,Aces 2009 Pocket Kings Red Wine
4741,08-09-2015,Ad Hoc 'Middle of Everywhere' Shiraz
3971,19-10-2015,A Blooming Hill 2009 Pinot Noir
3029,14-02-2015,Adelsheim Stoller Chardonnay (all vintages)
2758,06-02-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
3969,05-03-2015,A Blooming Hill 2009 Pinot Noir
2829,29-10-2015,Albet i Noya Col·lecció Chardonnay
4573,23-12-2015,A Blooming Hill 2009 Pinot Noir
4726,08-07-2015,A Gust of Sun (except 2010 Niagara)
3929,06-11-2015,Adrice 2017 Alma Albariño
1286,10-07-2015,Abacela Wines
1648,01-05-2015,A&D Singular
1544,25-02-2015,Adrice 2015 Etouffant Red Mountain Merlot
2925,16-03-2015,A&D Monólogo Avesso P67
1276,23-11-2015,Adair Black Currant Kir
1908,26-07-2015,A Gust of Sun 2010 Niagara
2519,30-05-2015,Adler Fels
3096,07-07-2015,Alasia Piemonte DOC Cortese
1001,02-05-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
4699,29-03-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1417,18-09-2015,Adrice 2015 Etouffant Red Mountain Merlot
4034,29-08-2015,A Blooming Hill 2008 Pinot Noir
4711,19-06-2015,A Blooming Hill 2008 Pinot Noir
3584,17-12-2015,A Blooming Hill 2008 Pinot Noir
2981,03-12-2015,A Blooming Hill 2008 Pinot Noir
1820,21-03-2015,A&D Monólogo Chardonnay P706
3793,15-04-2015,A Blooming Hill 2008 Pinot Noir
1965,04-08-2015,A Blooming Hill 2009 Pinot Gris
4903,01-05-2015,A Portela Mencía
1845,11-02-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
2384,02-01-2015,A Blooming Hill 2008 Mingle
2584,25-04-2015,Adrice 2016 Synergy Cabernet Port
1193,12-11-2015,A&D Monólogo Sauvignon Blanc P704
4267,06-09-2015,A Blooming Hill 2008 Pinot Noir
2707,05-05-2015,A Blooming Hill 2008 Pinot Noir
3214,08-05-2015,A&D Monólogo Avesso P67
1171,15-01-2015,Ad Hoc 'Mixmaster' Blended Red
1950,11-11-2015,A Blooming Hill 2008 Pinot Noir
4737,19-09-2015,A&D Monólogo Sauvignon Blanc P704
3589,04-11-2015,A&D Monólogo Avesso P67
2246,29-08-2015,Aalto Wines
2128,10-08-2015,Aces 2010 Seven Deuce White
3866,21-04-2015,A&D Monólogo Arinto P24
1882,09-07-2015,A&D Monólogo Sauvignon Blanc P704
2574,25-08-2015,Albet i Noya El Fanio
2011,22-12-2015,A Blooming Hill 2009 Pinot Gris
4223,20-07-2015,A Blooming Hill 2009 Pinot Gris
2068,07-04-2015,A Blooming Hill 2009 Pinot Noir
3035,09-05-2015,Albet i Noya Col·lecció Chardonnay
2597,08-05-2015,Alasia Brachetto d’Acqui DOCG
1306,08-01-2015,Adnams Wine
1789,24-04-2015,Albet i Noya Cava Brut Nature
1003,10-02-2015,A Blooming Hill 2009 Pinot Noir
3378,13-01-2015,AA Badenhorst Family Wines
4460,01-05-2015,Adrice 2014 Pardonné Pinot Noir
1961,21-06-2015,Adrice 2014 Riveter Red Washington Cabernet Sauvignon
4576,18-06-2015,Aceviño Rosé
3061,10-02-2015,Aalto Wines
1016,19-07-2015,Aces 2007 Pocket Aces Cabernet Sauvignon Reserve
3528,19-05-2015,A Blooming Hill 2009 Pinot Noir
4566,10-03-2015,A Gust of Sun 2010 Niagara
1979,20-11-2015,Aces 2009 Seven Deuce Red
3662,03-12-2015,A Blooming Hill 2008 Pinot Noir
2700,13-05-2015,A&D Monólogo Avesso P67
2432,12-12-2015,Ad Hoc 'Wall Flower' Riesling
2693,17-08-2015,A&D Monólogo Avesso P67
1456,20-11-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
4081,20-10-2015,A Blooming Hill 2009 Pinot Noir
4588,30-06-2015,Ad Hoc 'Mixmaster' Blended White
1892,08-03-2015,A&D Liv
1922,07-02-2015,A Blooming Hill 2009 Chardonnay
1440,06-12-2015,A Blooming Hill 2008 Mingle
1420,19-06-2015,Agran Araucano Wines
2273,21-10-2015,A Blooming Hill 2009 Pinot Gris
4910,25-11-2015,A&D Singular
4593,04-08-2015,A Blooming Hill 2009 Pinot Noir
1380,21-11-2015,Aces 2010 Seven Deuce White
4035,26-07-2015,Adrice 2017 Vivant Sauvignon Blanc
3063,28-12-2015,A&D Monólogo Sauvignon Blanc P704
2558,12-08-2015,A Blooming Hill 2009 Pinot Noir
1744,27-06-2015,Aces 2010 Seven Deuce White
3162,06-06-2015,A&D Monólogo Arinto P24
3216,12-02-2015,Achard-Vincent
4783,27-01-2015,A&D Monólogo Avesso P67
2592,25-09-2015,Ad Hoc 'Mixmaster' Blended White
3141,19-07-2015,A Blooming Hill 2009 Pinot Noir
2315,20-12-2015,A Blooming Hill 2009 Pinot Gris
3318,12-01-2015,Airlie Marechal Foch
4594,02-05-2015,Albet i Noya Brut Nature Reserva
2428,14-08-2015,Adair 2011 Landmark White
4613,17-05-2015,A Portela Mencía
1676,11-10-2015,A Portela Mencía
1259,21-11-2015,Adrice 2014 Pardonné Pinot Noir
3930,12-07-2015,A&D Monólogo Avesso P67
3995,26-06-2015,A Blooming Hill 2009 Chardonnay
1038,14-12-2015,A Gust of Sun 2010 Niagara
4794,06-09-2015,Aces 2010 Seven Deuce White
3960,21-09-2015,A Blooming Hill 2008 Pinot Noir
3077,05-01-2015,Aeris - Chardonnay Igp Terre di Chieti Biologico Vegano
1161,14-03-2015,A Blooming Hill 2008 Pinot Noir
1800,16-04-2015,A&D Monólogo Chardonnay P706
1717,09-11-2015,A Blooming Hill 2009 Pinot Gris
1888,06-06-2015,Adrice 2014 Pardonné Pinot Noir
2138,04-03-2015,A&D Monólogo Sauvignon Blanc P704
1866,13-02-2015,A&D Monólogo Arinto P24
4745,29-09-2015,Air Wine
1269,12-09-2015,A Blooming Hill 2008 Pinot Noir
4721,15-06-2015,Alasia Langhe Nebbiolo DOC
2885,22-03-2015,Albet i Noya Merlot Rosat
1435,24-04-2015,Adair Black Currant Kir
1887,03-02-2015,A Grower's Touch Chadronnay
4776,26-03-2015,A Blooming Hill 2009 Chardonnay
4313,16-05-2015,Albet i Noya El Fanio
3545,28-08-2015,Aalto Wines
2307,12-03-2015,A&D Monólogo Sauvignon Blanc P704
1215,18-01-2015,Airlie Gewürztraminer
1428,18-01-2015,A Blooming Hill 2008 Pinot Noir
4297,27-10-2015,A&D Liv Rosé
1812,14-10-2015,A&D Monólogo Avesso P67
2217,02-12-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
2378,15-04-2015,A&D Singular
2397,23-06-2015,Achard-Vincent
3419,20-08-2015,Adrice 2016 Synergy Cabernet Port
4131,29-03-2015,Adrice 2016 Leadfoot Louie
2220,04-08-2015,Ad Hoc 'Mixmaster' Blended White
3870,21-03-2015,Aceviño Whites
1483,14-06-2015,Adrice 2015 Alter Ego Washington Cabernet Sauvignon
3449,29-11-2015,A Blooming Hill 2009 Pinot Noir
1959,13-12-2015,A&D Monólogo Avesso P67
4825,17-01-2015,A Gust of Sun 2010 Niagara
3289,02-05-2015,A Grower's Touch Durif
1256,29-08-2015,A Gust of Sun 2010 Niagara
3369,23-03-2015,Adastra 2011 Merlot
2191,25-10-2015,A&D Liv Rosé
4645,06-12-2015,Ad Hoc 'Mixmaster' Blended White
3818,08-08-2015,Adelsheim single vineyard Pinot Noirs (all vintages)
3857,04-11-2015,Agripunica Barrua
3651,31-07-2015,Adelsheim Stoller Chardonnay (all vintages)
3689,29-07-2015,Adastra 2012 Chardonnay
2361,03-10-2015,A Blooming Hill 2009 Pinot Gris
2513,15-12-2015,A&D Monólogo Avesso P67
2110,29-07-2015,Aces 2009 Seven Deuce Red
4895,21-07-2015,A&D Singular
2756,31-07-2015,Abbazia Prosecco Spumante
1960,09-01-2015,A&D Monólogo Avesso P67
3924,29-10-2015,Airlie Gewürztraminer
3020,27-08-2015,Adair 2011 Landmark White
4531,10-08-2015,Aces 2010 Flush Bush
4901,14-02-2015,A Portela Mencía
3787,24-09-2015,A&D Monólogo Avesso P67
3688,24-09-2015,A Blooming Hill 2009 Pinot Noir
4717,10-04-2015,A&D Monólogo Chardonnay P706
2210,25-09-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
4152,29-05-2015,Ad Hoc 'Cruel Mistress' Pinot Noir
